Book 1,Book 2,Book 3,Facet,Language,Group,Selection,Answer Nr.,Nr. Known Books,Time,Participant ID
01,02,03,atmosphere,ger,1,01==03,2,17,246,438
01,02,03,atmosphere,ger,1,01==02,1,17,187,440
01,02,03,content,ger,1,01==03,2,17,246,438
01,02,03,content,ger,1,01==03,2,17,187,440
01,02,03,location,ger,1,01==03,2,17,246,438
01,02,03,location,ger,1,01==03,2,17,187,440
01,02,03,plot,ger,1,01==02,1,17,246,438
01,02,03,plot,ger,1,01==03,2,17,187,440
01,02,03,time,ger,1,01==03,2,17,246,438
01,02,03,time,ger,1,01==03,2,17,187,440
01,02,03,total,ger,1,01==03,2,17,246,438
01,02,03,total,ger,1,01==03,2,17,187,440
01,02,06,atmosphere,ger,1,02==06,3,17,246,438
01,02,06,atmosphere,ger,1,01==06,2,17,187,440
01,02,06,content,ger,1,02==06,3,17,246,438
01,02,06,content,ger,1,01==02,1,17,187,440
01,02,06,location,ger,1,02==06,3,17,246,438
01,02,06,location,ger,1,01==02,1,17,187,440
01,02,06,plot,ger,1,01==06,2,17,246,438
01,02,06,plot,ger,1,02==06,3,17,187,440
01,02,06,time,ger,1,02==06,3,17,246,438
01,02,06,time,ger,1,02==06,3,17,187,440
01,02,06,total,ger,1,02==06,3,17,246,438
01,02,06,total,ger,1,02==06,3,17,187,440
01,02,07,atmosphere,ger,1,01==02,1,17,246,438
01,02,07,atmosphere,ger,1,02==07,3,17,187,440
01,02,07,content,ger,1,01==02,1,17,246,438
01,02,07,content,ger,1,01==02,1,17,187,440
01,02,07,location,ger,1,01==02,1,17,246,438
01,02,07,location,ger,1,01==02,1,17,187,440
01,02,07,plot,ger,1,01==07,2,17,246,438
01,02,07,plot,ger,1,01==02,1,17,187,440
01,02,07,total,ger,1,01==02,1,17,246,438
01,02,07,total,ger,1,01==02,1,17,187,440
01,02,09,atmosphere,ger,1,01==02,1,17,246,438
01,02,09,atmosphere,ger,1,01==02,1,17,187,440
01,02,09,total,ger,1,01==02,1,17,246,438
01,02,09,total,ger,1,01==09,2,17,187,440
01,03,06,atmosphere,ger,1,01==03,1,16,509,285
01,03,06,atmosphere,ger,1,01==06,2,15,394,311
01,03,06,atmosphere,ger,1,01==03,1,10,252,340
01,03,06,atmosphere,ger,2,01==03,1,4,116,453
01,03,06,content,ger,1,skip,-1,16,509,285
01,03,06,content,ger,1,01==03,1,15,394,311
01,03,06,content,ger,1,01==03,1,10,252,340
01,03,06,content,ger,2,01==03,1,4,116,453
01,03,06,location,ger,1,01==03,1,16,509,285
01,03,06,location,ger,1,01==03,1,15,394,311
01,03,06,location,ger,1,01==03,1,10,252,340
01,03,06,location,ger,2,01==03,1,4,116,453
01,03,06,plot,ger,1,skip,-1,16,509,285
01,03,06,plot,ger,1,01==03,1,15,394,311
01,03,06,plot,ger,1,01==03,1,10,252,340
01,03,06,plot,ger,2,01==03,1,4,116,453
01,03,06,time,ger,1,01==03,1,16,509,285
01,03,06,time,ger,1,01==03,1,15,394,311
01,03,06,time,ger,1,01==03,1,10,252,340
01,03,06,time,ger,2,01==03,1,4,116,453
01,03,06,total,ger,1,01==03,1,16,509,285
01,03,06,total,ger,1,01==03,1,15,394,311
01,03,06,total,ger,1,01==03,1,10,252,340
01,03,06,total,ger,2,01==03,1,4,116,453
01,03,07,atmosphere,ger,1,01==03,1,16,509,285
01,03,07,atmosphere,ger,1,01==03,1,14,273,287
01,03,07,atmosphere,ger,1,01==03,1,15,394,311
01,03,07,atmosphere,ger,1,01==03,1,17,354,314
01,03,07,atmosphere,ger,1,01==03,1,11,364,423
01,03,07,content,ger,1,01==03,1,16,509,285
01,03,07,content,ger,1,01==03,1,14,273,287
01,03,07,content,ger,1,01==03,1,15,394,311
01,03,07,content,ger,1,03==07,3,17,354,314
01,03,07,content,ger,1,01==03,1,11,364,423
01,03,07,location,ger,1,01==03,1,16,509,285
01,03,07,location,ger,1,01==03,1,14,273,287
01,03,07,location,ger,1,01==03,1,15,394,311
01,03,07,location,ger,1,01==03,1,17,354,314
01,03,07,location,ger,1,01==03,1,11,364,423
01,03,07,plot,ger,1,01==03,1,16,509,285
01,03,07,plot,ger,1,01==03,1,14,273,287
01,03,07,plot,ger,1,01==07,2,15,394,311
01,03,07,plot,ger,1,01==03,1,17,354,314
01,03,07,plot,ger,1,01==03,1,11,364,423
01,03,07,time,ger,1,01==03,1,16,509,285
01,03,07,time,ger,1,01==03,1,14,273,287
01,03,07,time,ger,1,01==03,1,15,394,311
01,03,07,time,ger,1,01==03,1,17,354,314
01,03,07,time,ger,1,01==03,1,11,364,423
01,03,07,total,ger,1,01==03,1,16,509,285
01,03,07,total,ger,1,01==03,1,14,273,287
01,03,07,total,ger,1,01==03,1,15,394,311
01,03,07,total,ger,1,01==03,1,17,354,314
01,03,07,total,ger,1,01==03,1,11,364,423
01,03,09,atmosphere,ger,1,01==03,1,16,509,285
01,03,09,atmosphere,ger,1,01==03,1,14,273,287
01,03,09,atmosphere,ger,1,01==03,1,15,394,311
01,03,09,atmosphere,ger,1,01==03,1,17,354,314
01,03,09,atmosphere,ger,1,01==03,1,9,307,338
01,03,09,atmosphere,ger,1,01==03,1,11,364,423
01,03,09,content,ger,1,01==03,1,16,509,285
01,03,09,content,ger,1,01==03,1,14,273,287
01,03,09,content,ger,1,01==03,1,15,394,311
01,03,09,content,ger,1,01==09,2,17,354,314
01,03,09,content,ger,1,01==03,1,9,307,338
01,03,09,content,ger,1,01==03,1,11,364,423
01,03,09,location,ger,1,01==03,1,16,509,285
01,03,09,location,ger,1,01==03,1,14,273,287
01,03,09,location,ger,1,01==03,1,15,394,311
01,03,09,location,ger,1,01==03,1,17,354,314
01,03,09,location,ger,1,01==03,1,9,307,338
01,03,09,location,ger,1,01==03,1,11,364,423
01,03,09,plot,ger,1,01==03,1,16,509,285
01,03,09,plot,ger,1,01==03,1,14,273,287
01,03,09,plot,ger,1,01==09,2,15,394,311
01,03,09,plot,ger,1,01==09,2,17,354,314
01,03,09,plot,ger,1,01==03,1,9,307,338
01,03,09,plot,ger,1,01==03,1,11,364,423
01,03,09,time,ger,1,01==03,1,14,273,287
01,03,09,time,ger,1,01==03,1,17,354,314
01,03,09,time,ger,1,01==03,1,9,307,338
01,03,09,time,ger,1,01==03,1,11,364,423
01,03,09,total,ger,1,01==03,1,16,509,285
01,03,09,total,ger,1,01==03,1,14,273,287
01,03,09,total,ger,1,01==03,1,15,394,311
01,03,09,total,ger,1,01==03,1,17,354,314
01,03,09,total,ger,1,01==03,1,9,307,338
01,03,09,total,ger,1,01==03,1,11,364,423
01,03,14,atmosphere,ger,1,01==03,1,16,509,285
01,03,14,atmosphere,ger,1,01==03,1,14,273,287
01,03,14,atmosphere,ger,1,01==03,1,15,394,311
01,03,14,atmosphere,ger,1,01==03,1,17,354,314
01,03,14,atmosphere,ger,2,01==14,2,10,410,437
01,03,14,content,ger,1,01==03,1,14,273,287
01,03,14,content,ger,1,01==03,1,17,354,314
01,03,14,content,ger,2,01==03,1,10,410,437
01,03,14,location,ger,1,01==03,1,14,273,287
01,03,14,location,ger,1,01==03,1,17,354,314
01,03,14,location,ger,2,01==03,1,10,410,437
01,03,14,plot,ger,1,01==03,1,14,273,287
01,03,14,plot,ger,1,01==14,2,17,354,314
01,03,14,plot,ger,2,01==14,2,10,410,437
01,03,14,time,ger,2,01==03,1,10,410,437
01,03,14,total,ger,1,01==03,1,16,509,285
01,03,14,total,ger,1,01==03,1,14,273,287
01,03,14,total,ger,1,01==03,1,15,394,311
01,03,14,total,ger,1,01==03,1,17,354,314
01,03,14,total,ger,2,01==03,1,10,410,437
01,03,20,atmosphere,ger,1,01==03,1,14,273,287
01,03,20,atmosphere,ger,1,03==20,3,17,354,314
01,03,20,atmosphere,ger,1,03==20,3,9,307,338
01,03,20,atmosphere,ger,1,01==03,1,10,252,340
01,03,20,atmosphere,ger,1,01==03,1,11,364,423
01,03,20,content,ger,1,01==03,1,9,307,338
01,03,20,content,ger,1,01==03,1,10,252,340
01,03,20,content,ger,1,01==03,1,11,364,423
01,03,20,location,ger,1,01==03,1,9,307,338
01,03,20,location,ger,1,01==03,1,10,252,340
01,03,20,location,ger,1,01==03,1,11,364,423
01,03,20,plot,ger,1,01==20,2,9,307,338
01,03,20,plot,ger,1,01==03,1,10,252,340
01,03,20,plot,ger,1,03==20,3,11,364,423
01,03,20,time,ger,1,01==20,2,9,307,338
01,03,20,time,ger,1,03==20,3,10,252,340
01,03,20,total,ger,1,01==03,1,14,273,287
01,03,20,total,ger,1,03==20,3,17,354,314
01,03,20,total,ger,1,01==03,1,9,307,338
01,03,20,total,ger,1,01==03,1,10,252,340
01,03,20,total,ger,1,03==20,3,11,364,423
01,06,09,atmosphere,ger,1,01==09,2,9,575,403
01,06,09,content,ger,1,06==09,3,9,575,403
01,06,09,location,ger,1,01==06,1,9,575,403
01,06,09,plot,ger,1,01==06,1,9,575,403
01,06,09,time,ger,1,01==06,1,9,575,403
01,06,09,total,ger,1,01==06,1,9,575,403
01,06,15,atmosphere,ger,1,06==15,3,9,575,403
01,06,15,atmosphere,ger,2,01==15,2,6,361,392
01,06,15,content,ger,1,06==15,3,9,575,403
01,06,15,location,ger,1,01==15,2,9,575,403
01,06,15,plot,ger,1,06==15,3,9,575,403
01,06,15,time,ger,1,01==15,2,9,575,403
01,06,15,total,ger,1,06==15,3,9,575,403
01,06,15,total,ger,2,06==15,3,6,361,392
01,06,20,atmosphere,ger,1,01==20,2,10,252,340
01,06,20,atmosphere,ger,1,01==20,2,9,575,403
01,06,20,content,ger,1,01==20,2,10,252,340
01,06,20,content,ger,1,01==20,2,9,575,403
01,06,20,location,ger,1,01==20,2,10,252,340
01,06,20,location,ger,1,06==20,3,9,575,403
01,06,20,plot,ger,1,01==20,2,10,252,340
01,06,20,plot,ger,1,06==20,3,9,575,403
01,06,20,total,ger,1,01==20,2,10,252,340
01,06,20,total,ger,1,01==20,2,9,575,403
01,07,09,atmosphere,ger,1,07==09,3,8,462,333
01,07,09,atmosphere,ger,1,07==09,3,11,364,423
01,07,09,content,ger,1,07==09,3,8,462,333
01,07,09,location,ger,1,01==07,1,8,462,333
01,07,09,plot,ger,1,01==07,1,8,462,333
01,07,09,time,ger,1,01==07,1,8,462,333
01,07,09,total,ger,1,07==09,3,8,462,333
01,07,09,total,ger,1,07==09,3,11,364,423
01,07,14,atmosphere,ger,1,07==14,3,8,462,333
01,07,14,content,ger,1,07==14,3,8,462,333
01,07,14,location,ger,1,07==14,3,8,462,333
01,07,14,plot,ger,1,01==07,1,8,462,333
01,07,14,time,ger,1,07==14,3,8,462,333
01,07,14,total,ger,1,07==14,3,8,462,333
01,07,20,atmosphere,eng,2,01==07,1,19,374,345
01,07,20,content,eng,2,01==20,2,19,374,345
01,07,20,location,eng,2,01==20,2,19,374,345
01,07,20,plot,eng,2,01==07,1,19,374,345
01,07,20,time,eng,2,01==07,1,19,374,345
01,07,20,total,eng,2,01==07,1,19,374,345
01,09,14,atmosphere,ger,1,09==14,3,8,462,333
01,09,14,content,ger,1,09==14,3,8,462,333
01,09,14,location,ger,1,09==14,3,8,462,333
01,09,14,plot,ger,1,01==09,1,8,462,333
01,09,14,total,ger,1,09==14,3,8,462,333
01,09,15,atmosphere,ger,1,01==09,1,9,575,403
01,09,15,total,ger,1,01==15,2,9,575,403
01,09,20,atmosphere,ger,1,01==20,2,9,307,338
01,09,20,content,ger,1,01==20,2,9,307,338
01,09,20,location,ger,1,01==20,2,9,307,338
01,09,20,plot,ger,1,01==20,2,9,307,338
01,09,20,total,ger,1,01==20,2,9,307,338
01,14,20,atmosphere,ger,2,01==20,2,9,374,306
01,14,20,total,ger,2,01==20,2,9,374,306
02,05,09,atmosphere,ger,1,05==09,3,11,289,385
02,05,09,content,ger,1,05==09,3,11,289,385
02,05,09,location,ger,1,05==09,3,11,289,385
02,05,09,plot,ger,1,05==09,3,11,289,385
02,05,09,time,ger,1,02==05,1,11,289,385
02,05,09,total,ger,1,05==09,3,11,289,385
02,05,11,atmosphere,ger,1,02==11,2,11,289,385
02,05,11,content,ger,1,05==11,3,11,289,385
02,05,11,location,ger,1,02==11,2,11,289,385
02,05,11,plot,ger,1,05==11,3,11,289,385
02,05,11,time,ger,1,05==11,3,11,289,385
02,05,11,total,ger,1,05==11,3,11,289,385
02,05,13,atmosphere,ger,1,02==13,2,11,289,385
02,05,13,content,ger,1,02==13,2,11,289,385
02,05,13,location,ger,1,02==13,2,11,289,385
02,05,13,plot,ger,1,02==13,2,11,289,385
02,05,13,total,ger,1,02==13,2,11,289,385
02,05,16,atmosphere,ger,1,02==16,2,11,289,385
02,05,16,total,ger,1,05==16,3,11,289,385
02,05,19,atmosphere,eng,2,02==05,1,17,417,334
02,05,19,content,eng,2,02==05,1,17,417,334
02,05,19,location,eng,2,05==19,3,17,417,334
02,05,19,plot,eng,2,05==19,3,17,417,334
02,05,19,time,eng,2,02==19,2,17,417,334
02,05,19,total,eng,2,05==19,3,17,417,334
03,08,10,atmosphere,ger,1,03==10,2,8,273,429
03,08,10,content,ger,1,08==10,3,8,273,429
03,08,10,location,ger,1,08==10,3,8,273,429
03,08,10,plot,ger,1,08==10,3,8,273,429
03,08,10,time,ger,1,08==10,3,8,273,429
03,08,10,total,ger,1,08==10,3,8,273,429
03,08,12,atmosphere,ger,2,03==12,2,8,290,362
03,08,12,total,ger,2,03==12,2,8,290,362
03,08,16,atmosphere,ger,2,03==08,1,8,290,362
03,08,16,content,ger,2,03==08,1,8,290,362
03,08,16,location,ger,2,03==08,1,8,290,362
03,08,16,plot,ger,2,03==08,1,8,290,362
03,08,16,time,ger,2,03==08,1,8,290,362
03,08,16,total,ger,2,03==08,1,8,290,362
03,08,19,atmosphere,ger,1,08==19,3,8,273,429
03,08,19,content,ger,1,08==19,3,8,273,429
03,08,19,location,ger,1,08==19,3,8,273,429
03,08,19,plot,ger,1,08==19,3,8,273,429
03,08,19,time,ger,1,08==19,3,8,273,429
03,08,19,total,ger,1,08==19,3,8,273,429
03,10,12,atmosphere,eng,1,03==12,2,11,493,273
03,10,12,atmosphere,ger,1,03==12,2,9,307,338
03,10,12,atmosphere,ger,1,03==12,2,10,252,340
03,10,12,atmosphere,ger,1,03==12,2,14,558,421
03,10,12,atmosphere,ger,2,03==12,2,9,453,329
03,10,12,content,eng,1,03==12,2,11,493,273
03,10,12,content,ger,1,03==12,2,14,558,421
03,10,12,location,eng,1,03==12,2,11,493,273
03,10,12,location,ger,1,03==12,2,14,558,421
03,10,12,plot,eng,1,03==12,2,11,493,273
03,10,12,plot,ger,1,03==12,2,14,558,421
03,10,12,time,eng,1,03==12,2,11,493,273
03,10,12,time,ger,1,03==12,2,14,558,421
03,10,12,total,eng,1,03==12,2,11,493,273
03,10,12,total,ger,1,03==12,2,9,307,338
03,10,12,total,ger,1,03==12,2,10,252,340
03,10,12,total,ger,1,03==12,2,14,558,421
03,10,12,total,ger,2,03==12,2,9,453,329
03,10,17,atmosphere,ger,1,03==10,1,7,393,283
03,10,17,atmosphere,ger,1,03==17,2,14,558,421
03,10,17,content,ger,1,03==10,1,7,393,283
03,10,17,content,ger,1,10==17,3,14,558,421
03,10,17,location,ger,1,03==10,1,7,393,283
03,10,17,location,ger,1,03==17,2,14,558,421
03,10,17,plot,ger,1,03==10,1,7,393,283
03,10,17,plot,ger,1,10==17,3,14,558,421
03,10,17,time,ger,1,03==10,1,7,393,283
03,10,17,time,ger,1,03==17,2,14,558,421
03,10,17,total,ger,1,03==10,1,7,393,283
03,10,17,total,ger,1,03==17,2,14,558,421
03,10,19,atmosphere,eng,1,10==19,3,11,493,273
03,10,19,atmosphere,ger,1,10==19,3,14,558,421
03,10,19,atmosphere,ger,1,10==19,3,8,273,429
03,10,19,content,eng,1,10==19,3,11,493,273
03,10,19,content,ger,1,10==19,3,14,558,421
03,10,19,content,ger,1,10==19,3,8,273,429
03,10,19,location,eng,1,10==19,3,11,493,273
03,10,19,location,ger,1,10==19,3,14,558,421
03,10,19,location,ger,1,10==19,3,8,273,429
03,10,19,plot,eng,1,10==19,3,11,493,273
03,10,19,plot,ger,1,10==19,3,14,558,421
03,10,19,plot,ger,1,10==19,3,8,273,429
03,10,19,time,eng,1,10==19,3,11,493,273
03,10,19,total,eng,1,10==19,3,11,493,273
03,10,19,total,ger,1,10==19,3,14,558,421
03,10,19,total,ger,1,10==19,3,8,273,429
03,10,20,atmosphere,eng,1,03==20,2,11,493,273
03,10,20,atmosphere,eng,2,03==20,2,17,417,334
03,10,20,atmosphere,ger,1,03==20,2,14,558,421
03,10,20,atmosphere,ger,2,03==20,2,7,296,282
03,10,20,atmosphere,ger,2,03==20,2,13,346,398
03,10,20,content,eng,1,03==20,2,11,493,273
03,10,20,content,eng,2,03==20,2,17,417,334
03,10,20,content,ger,2,03==20,2,7,296,282
03,10,20,content,ger,2,03==20,2,13,346,398
03,10,20,location,eng,1,03==10,1,11,493,273
03,10,20,location,eng,2,03==20,2,17,417,334
03,10,20,location,ger,2,03==20,2,7,296,282
03,10,20,location,ger,2,03==20,2,13,346,398
03,10,20,plot,eng,1,03==20,2,11,493,273
03,10,20,plot,eng,2,03==20,2,17,417,334
03,10,20,plot,ger,2,03==20,2,7,296,282
03,10,20,plot,ger,2,03==20,2,13,346,398
03,10,20,time,eng,2,03==10,1,17,417,334
03,10,20,time,ger,2,03==10,1,7,296,282
03,10,20,time,ger,2,03==10,1,13,346,398
03,10,20,total,eng,1,03==20,2,11,493,273
03,10,20,total,eng,2,03==20,2,17,417,334
03,10,20,total,ger,1,03==20,2,14,558,421
03,10,20,total,ger,2,03==20,2,7,296,282
03,10,20,total,ger,2,03==20,2,13,346,398
03,12,16,atmosphere,ger,1,03==12,1,8,231,391
03,12,16,atmosphere,ger,1,03==12,1,9,410,408
03,12,16,content,ger,1,03==12,1,8,231,391
03,12,16,content,ger,1,03==12,1,9,410,408
03,12,16,location,ger,1,03==12,1,8,231,391
03,12,16,location,ger,1,03==12,1,9,410,408
03,12,16,plot,ger,1,03==12,1,8,231,391
03,12,16,plot,ger,1,03==16,2,9,410,408
03,12,16,time,ger,1,03==12,1,8,231,391
03,12,16,time,ger,1,03==12,1,9,410,408
03,12,16,total,ger,1,03==12,1,8,231,391
03,12,16,total,ger,1,03==12,1,9,410,408
03,12,17,atmosphere,ger,1,03==12,1,8,231,391
03,12,17,atmosphere,ger,1,03==12,1,9,410,408
03,12,17,atmosphere,ger,2,03==12,1,9,374,306
03,12,17,atmosphere,ger,2,03==12,1,9,453,329
03,12,17,atmosphere,ger,2,03==12,1,10,361,407
03,12,17,content,ger,1,03==12,1,8,231,391
03,12,17,content,ger,1,03==12,1,9,410,408
03,12,17,content,ger,2,03==12,1,9,374,306
03,12,17,content,ger,2,03==12,1,9,453,329
03,12,17,content,ger,2,03==12,1,10,361,407
03,12,17,location,ger,1,03==12,1,8,231,391
03,12,17,location,ger,1,03==12,1,9,410,408
03,12,17,location,ger,2,03==12,1,9,374,306
03,12,17,location,ger,2,03==12,1,9,453,329
03,12,17,location,ger,2,03==12,1,10,361,407
03,12,17,plot,ger,1,03==12,1,8,231,391
03,12,17,plot,ger,1,03==12,1,9,410,408
03,12,17,plot,ger,2,03==12,1,9,374,306
03,12,17,plot,ger,2,03==12,1,9,453,329
03,12,17,plot,ger,2,03==12,1,10,361,407
03,12,17,time,ger,1,03==12,1,8,231,391
03,12,17,time,ger,1,03==12,1,9,410,408
03,12,17,time,ger,2,03==12,1,9,374,306
03,12,17,time,ger,2,03==12,1,9,453,329
03,12,17,time,ger,2,03==12,1,10,361,407
03,12,17,total,ger,1,03==12,1,8,231,391
03,12,17,total,ger,1,03==12,1,9,410,408
03,12,17,total,ger,2,03==12,1,9,374,306
03,12,17,total,ger,2,03==12,1,9,453,329
03,12,17,total,ger,2,03==12,1,10,361,407
03,12,19,atmosphere,eng,1,03==12,1,11,493,273
03,12,19,total,eng,1,03==12,1,11,493,273
03,12,20,atmosphere,ger,1,03==12,1,9,410,408
03,12,20,atmosphere,ger,2,03==12,1,9,374,306
03,12,20,atmosphere,ger,2,03==12,1,4,121,430
03,12,20,content,ger,1,03==12,1,9,410,408
03,12,20,content,ger,2,03==12,1,9,374,306
03,12,20,content,ger,2,03==12,1,4,121,430
03,12,20,location,ger,1,03==12,1,9,410,408
03,12,20,location,ger,2,03==12,1,9,374,306
03,12,20,location,ger,2,03==12,1,4,121,430
03,12,20,plot,ger,1,03==20,2,9,410,408
03,12,20,plot,ger,2,03==12,1,9,374,306
03,12,20,plot,ger,2,03==12,1,4,121,430
